Region,Elevation,Slope,Aspect,Soil Type,Land Cover,Avg Annual Temp,Avg Annual Precip,GDD,Seasonal Precip Variability,Solar Radiation,Wind Speed,Humidity,Suitability Index
Eastern Europe,1770,24.133132378671256,239.9929185199575,Clay,Grassland,30.199768686570764,1689,1600,33.578859043116566,28.472440877575234,2.2571665457087495,85.32145827761539,0.4
Eastern Europe,1747,13.225003137671951,245.02392922615923,Loam,Forest,33.53783513939574,1936,795,20.197548867248383,13.25597142343261,3.315909640495738,55.87338861215252,0.4
Eastern Europe,2237,1.3201660815862382,186.75770733967425,Sandy,Grassland,31.88369464742639,1826,1981,21.71331889196092,24.10776295664852,5.150074578122957,84.89351500949839,0.4
Eastern Europe,1892,3.972006998934068,304.4272894343951,Sandy,Grassland,11.955603880445842,1454,1294,21.933795876139,14.547972511355916,2.8838528287564427,52.89402737627364,0.6
Western Europe,164,9.237376030398623,225.57839471118388,Sandy,Grassland,4.931914888254752,1740,1186,44.923621418125286,23.71721494674459,5.994257498787443,72.73039600127139,0.6
Russia,1739,17.61913739178004,178.6940697837897,Loam,Forest,6.014737445614863,1408,992,29.66958723754705,27.899968087501815,3.2155064175017727,68.02872655437424,0.6
Central Asia,2429,27.361591391711368,295.52579408817627,Clay,Forest,16.248384973572684,860,1848,27.955625654546555,13.496585451816966,0.7072994279529471,53.10583825936578,0.6
Western Europe,1652,19.276040937593372,214.44554265596108,Peat,Cropland,34.12987045081943,1827,1510,37.31651092495561,25.690840585563198,2.874358835644567,63.05966572909102,0.4
South Asia,2403,13.422082600806569,80.94112124987787,Loam,Grassland,29.393201493487446,225,1104,21.969821358763234,17.72572206173707,1.3142443323659967,54.0566736841754,0.4
Eastern Europe,1314,19.147621549290683,120.9027968763586,Peat,Forest,-0.077906282,1069,1986,22.124617945960207,28.335437480989633,6.379705546518755,64.14307872224411,0.6
Russia,2372,14.258401418880224,295.1044136039475,Loam,Cropland,13.321919545262936,754,1032,23.86659084997169,13.422022057195042,1.6817934362321258,85.56950938095403,0.6
Western Europe,623,21.546068718834533,263.3016790160825,Peat,Cropland,16.368052068344294,550,1703,28.54722009239756,26.227689756451817,2.0321403800584177,53.30694766408941,0.6
Eastern Europe,602,10.508331723718388,64.5118501537446,Loam,Grassland,24.498901501609822,1366,1467,44.06302411474246,10.580222596691476,4.461262772580699,76.10415077,0.8
Russia,658,25.310135629048446,262.3515694189082,Loam,Urban,-3.122419637,318,1634,43.03495060378785,24.946827475144328,0.7778468595642403,77.52221693042327,0.4
